epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5244.73,0.00099,0.09359,0.78008,0.40443,0.29739,0.32616,0.28066,0.0047,1.56529,1.21597,4.016e-05,4.016e-05,4.016e-05
42,5373.03,0.00095,0.09007,0.77866,0.39865,0.31436,0.33144,0.28537,0.00467,1.57832,1.22099,3.6164e-05,3.6164e-05,3.6164e-05
43,5500.9,0.00091,0.08734,0.77964,0.42586,0.30187,0.32967,0.28472,0.00467,1.58232,1.21866,3.2168e-05,3.2168e-05,3.2168e-05
44,5627.31,0.00086,0.0826,0.7766,0.42836,0.29418,0.33035,0.28525,0.00465,1.58337,1.22328,2.8172e-05,2.8172e-05,2.8172e-05
45,5753.64,0.00082,0.07958,0.77543,0.46578,0.28231,0.33147,0.28664,0.0046,1.58484,1.21451,2.4176e-05,2.4176e-05,2.4176e-05
46,5881.6,0.00079,0.07675,0.77489,0.39823,0.30232,0.32775,0.28399,0.00461,1.59859,1.22346,2.018e-05,2.018e-05,2.018e-05
47,6007.97,0.00076,0.07427,0.77511,0.37529,0.31421,0.33108,0.28693,0.00458,1.59569,1.22204,1.6184e-05,1.6184e-05,1.6184e-05
48,6135.75,0.00074,0.07368,0.77538,0.40409,0.3044,0.32924,0.2854,0.00457,1.59512,1.22033,1.2188e-05,1.2188e-05,1.2188e-05
49,6262.31,0.00069,0.07021,0.77415,0.40106,0.30569,0.33199,0.28699,0.00457,1.59849,1.22479,8.192e-06,8.192e-06,8.192e-06
50,6390.11,0.00068,0.06898,0.77468,0.39749,0.30576,0.33289,0.28787,0.00457,1.60196,1.22599,4.196e-06,4.196e-06,4.196e-06
