epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,7453.58,0.00495,1.25227,1.11762,0.60805,0.44326,0.49372,0.41976,0.00414,0.92988,1.02857,6.68e-05,6.68e-05,6.68e-05
42,7640.26,0.00492,1.24688,1.12127,0.66333,0.42574,0.4936,0.42011,0.00405,0.93509,1.01815,6.347e-05,6.347e-05,6.347e-05
43,7823.01,0.00492,1.21413,1.10934,0.64098,0.43147,0.5089,0.43043,0.00403,0.90938,1.0196,6.014e-05,6.014e-05,6.014e-05
44,8005.95,0.00486,1.20335,1.10952,0.6121,0.44751,0.51373,0.43391,0.00405,0.88431,1.01997,5.681e-05,5.681e-05,5.681e-05
45,8187.9,0.00485,1.17839,1.10378,0.63354,0.43193,0.51043,0.4312,0.00408,0.89403,1.02293,5.348e-05,5.348e-05,5.348e-05
46,8367.69,0.00483,1.15768,1.09682,0.62682,0.46523,0.52531,0.44321,0.00405,0.88312,1.0183,5.015e-05,5.015e-05,5.015e-05
47,8549.82,0.0048,1.16142,1.09987,0.62585,0.45778,0.52029,0.44392,0.00403,0.88832,1.01519,4.682e-05,4.682e-05,4.682e-05
48,8731.79,0.00469,1.13408,1.09159,0.63717,0.46764,0.53157,0.45262,0.00403,0.87,1.01902,4.349e-05,4.349e-05,4.349e-05
49,8913.55,0.00475,1.12192,1.09192,0.69469,0.4519,0.52992,0.44951,0.00398,0.86497,1.01387,4.016e-05,4.016e-05,4.016e-05
50,9093.36,0.00479,1.1191,1.09568,0.66791,0.45906,0.53168,0.45303,0.00398,0.85603,1.01259,3.683e-05,3.683e-05,3.683e-05
51,9275.55,0.0037,1.21235,1.02522,0.53352,0.46095,0.4322,0.36689,0.00401,1.81058,1.01432,3.35e-05,3.35e-05,3.35e-05
52,9455.05,0.00361,1.17765,1.01394,0.51184,0.4943,0.44359,0.37469,0.00398,1.91789,1.00904,3.017e-05,3.017e-05,3.017e-05
53,9634.5,0.00352,1.13977,1.00221,0.5535,0.46088,0.45514,0.38741,0.00393,1.3479,1.00854,2.684e-05,2.684e-05,2.684e-05
54,9813.96,0.00351,1.13031,1.00305,0.53925,0.47101,0.45145,0.38519,0.00392,1.36166,1.0073,2.351e-05,2.351e-05,2.351e-05
55,10044.3,0.00344,1.10004,0.98927,0.4775,0.44244,0.36407,0.31181,0.00387,8.77281,1.00313,2.018e-05,2.018e-05,2.018e-05
56,10223.8,0.00339,1.08503,0.98362,0.54314,0.46038,0.43858,0.37689,0.00387,1.58586,1.00408,1.685e-05,1.685e-05,1.685e-05
57,10403.3,0.00344,1.08212,0.99147,0.5135,0.44934,0.41768,0.35766,0.0039,2.60483,1.00525,1.352e-05,1.352e-05,1.352e-05
58,10582.8,0.00339,1.05808,0.98466,0.54931,0.426,0.41935,0.3603,0.00387,2.55613,1.00568,1.019e-05,1.019e-05,1.019e-05
59,10762.3,0.00339,1.05704,0.98284,0.53228,0.4386,0.40949,0.35112,0.00387,3.53376,1.00462,6.86e-06,6.86e-06,6.86e-06
60,10942,0.00331,1.02621,0.97518,0.50119,0.45501,0.39475,0.33942,0.00386,4.91668,1.00341,3.53e-06,3.53e-06,3.53e-06
